                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0981,                  3.032,                 16.933,                 1.0939,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036828,             0.00036828,             0.00036828
                      2,                 1.8006,                 2.4693,                 10.578,                 1.0399,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00073617,             0.00073617,             0.00073617
                      3,                 1.8296,                 2.7471,                  7.952,                 1.0862,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011016,              0.0011016,              0.0011016
                      4,                 1.8021,                 2.7503,                 6.0715,                  1.048,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0011,                 0.0011,                 0.0011
                      5,                 1.7917,                  2.576,                 5.0269,                 1.0262,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010963,              0.0010963,              0.0010963
                      6,                 1.6587,                 2.3628,                 3.1408,                 1.0181,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010927,              0.0010927,              0.0010927
                      7,                 1.6693,                 2.2942,                 2.7041,                 1.0041,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001089,               0.001089,               0.001089
                      8,                 1.6823,                 2.4068,                 2.4087,                 1.0194,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010853,              0.0010853,              0.0010853
                      9,                 1.6135,                 2.2307,                 1.8612,                0.99941,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010817,              0.0010817,              0.0010817
                     10,                 1.5926,                 2.3796,                 2.0517,                0.98743,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001078,               0.001078,               0.001078
                     11,                 1.6091,                 2.3611,                 1.7048,                 1.0005,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010743,              0.0010743,              0.0010743
                     12,                 1.6035,                 2.2528,                 1.8199,                 1.0026,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010707,              0.0010707,              0.0010707
